,proposal,voter,support,single_vote,name
370,53,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
651,53,0x2fc75b5d7ce406d1066554212fb046d21793a17b,1,894.21909615,
634,53,0x2d42af353533fe0911e6d2046ce773be2d758ce0,1,0.014988595716426032,
1435,53,0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,1,0.9,allthecolors.eth
1424,53,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126090.33091301039,
1133,53,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
580,53,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7690.059410116197,arr00.eth
1199,53,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100077.31401042873,
1302,53,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
1787,53,0x80855f07d264c5a4803ae33fde8c47a57f4c38bd,1,109.40179345860311,
1847,53,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,151.5404959684908,
762,53,0x3b2346e78f8051eb5cbc1848547949204c1059c0,1,0.01,indiga.eth
1967,53,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105126.53783727143,
2282,53,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,345043.3752998372,
2327,53,0x9b68c14e936104e9a7a24c712beecdc220002984,1,11050.52772898223,getty.gfxlabs.eth
263,53,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,49999.99999999999,
2052,53,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,77514.38334879739,monetsupply.eth
225,53,0x10f87409e405c5e44e581a4c3f2eecf36aaf1f92,1,38280.712773471634,
2016,53,0x8abaf5733742b1506f6a1255de0e37aec76b7940,1,0.25,dumbfuck.eth
2053,54,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,77514.38334879739,monetsupply.eth
2283,54,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,345043.3752998372,
1744,54,0x7d96a6f41fd31c7624f7069415be58b5e3576d34,1,883.5871333039805,trilez.eth
