,Unnamed: 0,voters.id,proposalID.id,support,single_vote,name
744,744,0x3e410f7167e7855b26d41de170c6d2457c35c049,59,1,66000000000000000000000,
745,745,0x3e410f7167e7855b26d41de170c6d2457c35c049,61,1,66000000000000000000000,
746,746,0x3e410f7167e7855b26d41de170c6d2457c35c049,76,1,66000000000000000000000,
747,747,0x3e4fe36e88cd3a92b52d2827fd04c800c02efa7a,108,1,60000000000000000,
748,748,0x3e61c2bb09954fb21b366dd25685f0a2dd8d322b,59,1,162396062455809700,
749,749,0x3e61c2bb09954fb21b366dd25685f0a2dd8d322b,60,1,162396062455809700,
750,750,0x3e9c94870b662ea4a7f66f95d517866407ed7b2b,109,1,0,jianai.eth
751,751,0x3eaf7bd84eeff7445e9499956950d5cba285c973,100,0,0,mahasri.eth
752,752,0x3eb58f93ab0cac85b888d7429d3eed96c086f7ed,50,1,842828978019491486,
753,753,0x3ecfba75d5a113241ec899888319a9e1e456ee9a,86,1,14242960000000000,0xblueeye.eth
754,754,0x3ecfba75d5a113241ec899888319a9e1e456ee9a,105,1,14242960000000000,0xblueeye.eth
755,755,0x3ecfba75d5a113241ec899888319a9e1e456ee9a,106,1,14242960000000000,0xblueeye.eth
756,756,0x3ecfba75d5a113241ec899888319a9e1e456ee9a,111,1,14242960000000000,0xblueeye.eth
757,757,0x3f20845969abf0c043911d54e2798a5b2eabaf8b,109,1,0,
758,758,0x3f2b31757f862ded7b98c6621b53b6656c199e6a,93,1,0,01520.eth
759,759,0x3f4579530dff31773e26001bada3cef5ce6f74cb,111,1,10000000000000000,
760,760,0x3f505b9fdb7c75d27d45d3a899457dffe3cae17e,111,1,10000000000000000,unizxf.eth
